body,size
11263,2616535571
11280,2615530401
11270,2613007197
11305,2612004915
11262,2611543981
11272,2610605069
11264,2610295182
11266,2610232323
11267,2610104976
11271,2609905641
11295,2609442142
11265,2608992001
11288,2608143899
11277,2607837388
11268,2606085857
11269,2605966395
11274,2604587706
11275,2603954073
11281,2601939932
11273,2601026568
11278,2600668116
11276,2599653311
11282,2599368891
11279,2598034320
11289,2597585741
10009,2596130365
11286,2595407856
11284,2595257940
11283,2591801223
11296,2590314865
11287,2589866060
11292,2588704175
11290,2587078230
11293,2586564735
11300,2585326757
11297,2584554613
11299,2583981150
11294,2583782620
11301,2583503671
11316,2583213062
11298,2582297859
11304,2581921686
11312,2580316384
11320,2578887104
11302,2578653472
11308,2576152285
11323,2575521671
11315,2575223058
11307,2572191736
11306,2571051066
11314,2570668757
11317,2570354488
11309,2569164770
11321,2568370962
11310,2566797298
11311,2565676122
11313,2565190358
11329,2563320142
11318,2561617058
11319,2561038055
11325,2558807989
11322,2553908531
11324,2553192292
11333,2550473437
11342,2550173532
11326,2549754808
11327,2549516567
11330,2549126339
11328,2548357636
11360,2548103451
11332,2547958053
11347,2546890336
11331,2545601549
11338,2545355307
11336,2540230269
11334,2536386986
11335,2536161733
11339,2535681900
11337,2533337670
11350,2533114453
11352,2533105643
11355,2532036201
11340,2528712000
11345,2528373207
11343,2528258447
11357,2528198694
11348,2527917959
11362,2527240102
11346,2523094437
11356,2522498044
11344,2521933919
11353,2520626716
11374,2519932507
11349,2519719584
11351,2518409999
11358,2515019300
11354,2513488116
11376,2511780679
11359,2510844940
11378,2509351563
11365,2508883138
10051,2508791017
11361,2507501370
11364,2506737683
11366,2506482806
11368,2505384397
11363,2504376953
11367,2504161349
11387,2503832776
11369,2503793598
11370,2503331079
11371,2502915918
11380,2499512274
11372,2494623871
11375,2494190198
11373,2493503134
11393,2493305131
11377,2490581330
11379,2490385540
11381,2490259249
11396,2485749177
11384,2485439054
11382,2484090812
11383,2482233069
11385,2482103511
11388,2482024365
11392,2481965153
11386,2480765992
11394,2480205659
11389,2479936444
11399,2479100968
11400,2472640564
11398,2470207903
11390,2470106484
11391,2469271108
11395,2467592461
11397,2465056784
11412,2464931402
11406,2464110155
10483,2460652908
11402,2458428042
11435,2456759693
11410,2455942051
11415,2455392324
11401,2454701532
11444,2453998248
11445,2453626028
11403,2453525703
11433,2451450177
11404,2450836713
11405,2449412231
11409,2449333396
11417,2449204759
11407,2448631070
11416,2446685742
11411,2446656882
11413,2446223236
11408,2445352826
11438,2444692358
11420,2444305171
11414,2443605597
11418,2441001333
11421,2440050923
11431,2439550555
11425,2438867032
11419,2438615047
11422,2436361663
11448,2435935542
11427,2434686872
11424,2434606141
11423,2434428871
11429,2433406758
11439,2433405236
11426,2432947180
11434,2432441999
11447,2431857044
11430,2431228631
11428,2429904423
11455,2429506078
11437,2429071824
11442,2428502844
11446,2428497057
11452,2428078231
11432,2428021177
11436,2427609676
11440,2424688361
11441,2424583117
11478,2424300936
11443,2423734168
11451,2422169973
11449,2417466460
11450,2416481777
11462,2415575390
11460,2414868185
11480,2413685002
100314,2413409921
11457,2413310491
11453,2413079143
11456,2412184421
11466,2412108125
11454,2412088073
11459,2411395954
11461,2410069068
11458,2409492772
11487,2409105474
11472,2407991570
11465,2407163613
11484,2406977514
11463,2404023381
11464,2403552615
11467,2403366319
11477,2403301566
11468,2401545473
11469,2399330760
11470,2397577236
11473,2397147692
11476,2396754755
11471,2396456233
11483,2394070635
11482,2392448533
11474,2391220447
11528,2391174130
11475,2390828578
11481,2390223933
11479,2389537567
11520,2389217403
11500,2388501966
11486,2388373511
11485,2388044150
11491,2387912676
11496,2387816838
11492,2387359386
11490,2387306846
11505,2385521764
11494,2385456973
11504,2385351334
11488,2384958321
11489,2384657392
11498,2384515576
11502,2384024038
11522,2383967460
11493,2383118963
11516,2382184701
11495,2381691950
11497,2381162585
11503,2381002866
10394,2379880607
11499,2378029150
11508,2376675810
11501,2376179395
